"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
86,Moldova,"620,736",,"12,124                                ",,"504,142",,"104,470",49,"154,675","3,021","3,216,305","801,437"
87,Estonia,"619,297",,"3,001                                ",,"524,990",,"91,306",2,"468,487","2,270","3,725,083","2,817,955"
88,Venezuela,"552,695",,"5,856                                ",,"546,537",,302,31,"18,885",200,"3,359,014","114,771"
89,Egypt,"516,023",,"24,613                                ",,"442,182",,"49,228",122,"4,861",232,"3,693,367","34,792"
90,Qatar,"514,524",,690                                ,,"513,687",,147,16,"172,664",232,"4,065,369","1,364,257"
92,Ethiopia,"500,920",,"7,574                                ",,"488,153",,"5,193",,"4,146",63,"5,556,977","45,997"
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027"
94,Honduras,"472,619",,"11,116                                ",,N/A,N/A,N/A,105,"46,239","1,088","1,660,662","162,472"
95,Armenia,"449,245",,"8,751                                ",,"435,162",,"5,332",,"151,161","2,945","3,242,901","1,091,164"
96,Bosnia and Herzegovina,"403,047",,"16,350                                ",,"379,084",,"7,613",,"124,041","5,032","1,884,721","580,036"
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724"
98,North Macedonia,"348,335",,"9,677                                ",,"337,068",,"1,590",,"167,364","4,649","2,226,216","1,069,626"
99,Zambia,"347,022",,"4,062                                ",,"341,316",,"1,644",,"17,823",209,"4,112,961","211,244"
100,Kenya,"343,786",,"5,689                                ",,"337,309",,788,1,"6,116",101,"3,967,062","70,569"
101,Albania,"334,726",,"3,602                                ",,"329,428",,"1,696",,"116,777","1,257","1,941,032","677,173"
102,Botswana,"330,077",,"2,801                                ",,"327,049",,227,1,"135,213","1,147","2,026,898","830,300"
103,Luxembourg,"319,959",,"1,232                                ",,"316,690",,"2,037",,"498,091","1,918","4,587,145","7,140,959"
104,Brunei ,"308,777",,225                                ,,"243,601",,"64,951",3,"693,209",505,"717,784","1,611,437"
105,Montenegro,"291,937",,"2,828                                ",,"288,645",,464,6,"464,905","4,504","2,760,423","4,395,928"
106,Algeria,"271,852",,"6,881                                ",,"183,061",,"81,910",,"5,995",152,"230,960","5,093"
107,Nigeria,"266,675",,"3,155                                ",,"259,953",,"3,567",11,"1,230",15,"5,708,974","26,339"
